,airline_name,flight_cost,depart_time,arrive_time,flight_duration,flight_flyscore,airline_rating,date,departure_airport,arrival_airport
0,United,199,6:00AM,3:28PM,748,6.5,3.0,2017-12-20,LGA,LAX
1,Frontier,259,9:20AM,6:14PM,714,4.8,2.5,2017-12-20,LGA,LAX
2,Spirit,260,9:59PM,8:26AM,807,4.8,2.5,2017-12-20,LGA,LAX
3,United,262,8:03PM,1:37AM,514,7.2,3.0,2017-12-20,LGA,LAX
4,United,262,7:03PM,1:37AM,574,6.9,3.0,2017-12-20,LGA,LAX
5,Frontier,265,9:20AM,8:39AM,1579,3.7,2.5,2017-12-20,LGA,LAX
6,Alaska,266,6:30AM,2:00PM,630,6.8,4.0,2017-12-20,LGA,LAX
7,United,266,6:00AM,1:32PM,632,6.5,3.0,2017-12-20,LGA,LAX
8,United,266,6:00AM,2:50PM,710,6.5,3.0,2017-12-20,LGA,LAX
9,Virgin America,268,7:50AM,7:00PM,850,7.4,4.0,2017-12-20,JFK,LAX
10,United,269,5:55AM,9:18AM,383,8.6,3.0,2017-12-20,EWR,LAX
11,United,269,7:10AM,10:33AM,383,8.6,3.0,2017-12-20,EWR,LAX
12,Virgin America,270,7:50AM,4:17PM,687,7.6,4.0,2017-12-20,JFK,LAX
13,Sun Country,279,7:00AM,12:05PM,485,6.9,4.0,2017-12-20,JFK,LAX
14,Sun Country,279,11:35AM,5:20PM,525,6.9,4.0,2017-12-20,JFK,LAX
15,Virgin America,283,8:00AM,11:28AM,388,8.6,4.0,2017-12-20,EWR,LAX
16,Alaska,283,8:00AM,11:28AM,388,8.6,4.0,2017-12-20,EWR,LAX
17,Sun Country,285,7:00AM,5:20PM,800,6.5,4.0,2017-12-20,JFK,LAX
18,Sun Country,285,11:35AM,10:55PM,860,6.4,4.0,2017-12-20,JFK,LAX
19,Alaska,287,7:50AM,4:17PM,687,7.6,4.0,2017-12-20,JFK,LAX
20,United,288,6:00AM,11:13AM,493,7.7,3.0,2017-12-20,LGA,LAX
21,United,288,1:00PM,6:31PM,511,0.0,3.0,2017-12-20,LGA,LAX
22,United,288,11:35AM,5:10PM,515,7.3,3.0,2017-12-20,LGA,LAX
23,United,288,7:00AM,12:43PM,523,7.2,3.0,2017-12-20,LGA,LAX
24,United,288,10:30AM,4:13PM,523,6.7,3.0,2017-12-20,LGA,LAX
25,United,288,2:53PM,8:39PM,526,0.0,3.0,2017-12-20,LGA,LAX
26,United,288,6:00PM,11:55PM,535,7.4,3.0,2017-12-20,LGA,LAX
27,United,288,3:30PM,9:38PM,548,6.9,3.0,2017-12-20,LGA,LAX
28,United,288,6:15PM,12:30AM,555,6.8,3.0,2017-12-20,LGA,LAX
29,United,288,12:00PM,6:31PM,571,0.0,3.0,2017-12-20,LGA,LAX
30,United,288,10:30AM,5:10PM,580,6.7,3.0,2017-12-20,LGA,LAX
31,United,288,6:00AM,12:43PM,583,7.1,3.0,2017-12-20,LGA,LAX
32,United,288,5:03PM,11:55PM,592,0.0,3.0,2017-12-20,LGA,LAX
33,United,288,9:16AM,4:13PM,597,6.6,3.0,2017-12-20,LGA,LAX
34,United,288,4:30PM,11:55PM,625,0.0,3.0,2017-12-20,LGA,LAX
35,United,288,11:00AM,6:31PM,631,0.0,3.0,2017-12-20,LGA,LAX
36,United,288,6:00PM,1:37AM,637,6.8,3.0,2017-12-20,LGA,LAX
37,United,288,9:16AM,5:10PM,654,6.6,3.0,2017-12-20,LGA,LAX
38,United,288,4:00PM,11:55PM,655,0.0,3.0,2017-12-20,LGA,LAX
39,Spirit,290,6:30AM,2:32PM,662,4.9,2.5,2017-12-20,EWR,LAX
40,United,292,6:00AM,4:40PM,820,6.3,3.0,2017-12-20,LGA,LAX
41,JetBlue,294,5:50AM,9:07AM,377,8.8,4.0,2017-12-20,JFK,LAX
42,Alaska,305,3:32PM,10:08PM,576,6.8,4.0,2017-12-20,LGA,LAX
43,United,305,9:48AM,6:31PM,703,7.3,3.0,2017-12-20,LGA,LAX
44,United,305,4:30PM,1:37AM,727,0.0,3.0,2017-12-20,LGA,LAX
45,Virgin America,306,7:50AM,7:24PM,874,6.6,4.0,2017-12-20,JFK,LAX
46,Alaska,306,7:50AM,7:24PM,874,6.6,4.0,2017-12-20,JFK,LAX
47,Spirit,308,8:30AM,4:28PM,658,5.6,2.5,2017-12-20,LGA,LAX
48,Spirit,308,8:30AM,4:28PM,658,4.9,2.5,2017-12-20,LGA,LAX
49,United,318,4:00PM,7:07PM,367,8.6,3.0,2017-12-20,EWR,LAX
50,United,318,10:00AM,1:12PM,372,8.6,3.0,2017-12-20,EWR,LAX
51,United,318,2:20PM,5:38PM,378,8.6,3.0,2017-12-20,EWR,LAX
52,United,318,5:30PM,8:48PM,378,8.6,3.0,2017-12-20,EWR,LAX
53,Virgin America,318,11:50AM,3:17PM,387,8.6,4.0,2017-12-20,EWR,LAX
54,Alaska,318,11:50AM,3:17PM,387,8.6,4.0,2017-12-20,EWR,LAX
55,Virgin America,318,4:00PM,7:27PM,387,8.6,4.0,2017-12-20,EWR,LAX
56,Alaska,318,4:00PM,7:27PM,387,8.6,4.0,2017-12-20,EWR,LAX
57,Virgin America,318,7:00AM,10:33AM,393,8.6,4.0,2017-12-20,JFK,LAX
58,Alaska,318,7:00AM,10:33AM,393,8.6,4.0,2017-12-20,JFK,LAX
59,Virgin America,318,9:15AM,12:48PM,393,8.6,4.0,2017-12-20,JFK,LAX
60,United,331,4:30PM,12:24AM,654,0.0,3.0,2017-12-20,LGA,LAX
61,United,331,1:00PM,10:23PM,743,0.0,3.0,2017-12-20,LGA,LAX
62,United,331,1:00PM,10:23PM,743,0.0,3.0,2017-12-20,LGA,LAX
