airline_name,legroom,seat_comfort,entertainment,customer_service,value_money,cleanliness,checkin_boarding,food_beverage
Virgin America,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.5 of 5 bubbles,4.0 of 5 bubbles,3.5 of 5 bubbles,4.0 of 5 bubbles
ANA (All Nippon Airways),4.0 of 5 bubbles,4.0 of 5 bubbles,4.5 of 5 bubbles,4.0 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles
Sun Country Airlines,3.5 of 5 bubbles,3.5 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles
American Airlines,3.0 of 5 bubbles,3.0 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles,3.0 of 5 bubbles
Delta Air Lines,3.5 of 5 bubbles,3.5 of 5 bubbles,4.0 of 5 bubbles,3.5 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles
United Airlines,3.0 of 5 bubbles,3.0 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles,3.0 of 5 bubbles
Alaska Airlines,4.0 of 5 bubbles,4.0 of 5 bubbles,4.5 of 5 bubbles,4.0 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.0 of 5 bubbles,3.5 of 5 bubbles
JetBlue,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles
Hawaiian Airlines,4.0 of 5 bubbles,3.5 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,4.0 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles
Frontier Airlines,2.5 of 5 bubbles,2.5 of 5 bubbles,3.0 of 5 bubbles,3.0 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles,2.0 of 5 bubbles,1.5 of 5 bubbles
Spirit Airlines,2.5 of 5 bubbles,2.5 of 5 bubbles,2.5 of 5 bubbles,3.0 of 5 bubbles,3.5 of 5 bubbles,3.0 of 5 bubbles,2.0 of 5 bubbles,1.5 of 5 bubbles
